scheme_code,nav,nav_date
132848,20.3817,2026-04-20
132849,21.1230,2026-04-20
113071,10.5479,2026-04-20
118986,10.4477,2026-04-20
151000,11.5545,2026-04-20
150996,81.3456,2026-04-20
150998,11.2836,2026-04-20
150997,19.6615,2026-04-20
151001,11.2794,2026-04-20
150992,76.2002,2026-04-20
150993,10.8704,2026-04-20
150994,16.4048,2026-04-20
150995,28.9449,2026-04-20
120692,32.7489,2026-04-20
120697,10.2772,2026-04-20
120694,15.4873,2026-04-20
111987,31.2105,2026-04-20
111991,10.4298,2026-04-20
111992,11.1936,2026-04-20
120500,1216.2101,2026-04-20
120499,3541.4032,2026-04-20
120497,3540.2725,2026-04-20
120496,1258.2165,2026-04-20
120501,1160.0489,2026-04-20
106179,1310.9207,2026-04-20
116109,3459.7529,2026-04-20
106177,3293.0861,2026-04-20
106171,1887.4867,2026-04-20
106172,1154.7663,2026-04-20
133791,4112.3388,2026-04-20
133792,1074.5877,2026-04-20
133782,3928.0101,2026-04-20
133787,1279.5954,2026-04-20
148755,13.5226,2026-04-20
148756,13.5193,2026-04-20
148757,13.2235,2026-04-20
148758,13.2235,2026-04-20
109472,17.0959,2026-04-20
118808,17.0959,2026-04-20
125266,20.8066,2026-04-20
118809,11.8350,2026-04-20
118811,12.1657,2026-04-20
118812,17.1039,2026-04-20
118807,46.8796,2026-04-20
118814,65.6621,2026-04-20
100859,44.5458,2026-04-20
100856,62.3721,2026-04-20
125267,19.9823,2026-04-20
100857,11.6964,2026-04-20
100858,12.0057,2026-04-20
109473,17.1030,2026-04-20
138317,10.0998,2026-04-20
138329,15.5990,2026-04-20
138330,50.0825,2026-04-20
138331,14.6933,2026-04-20
138332,12.9012,2026-04-20
138318,44.6892,2026-04-20
138316,12.5830,2026-04-20
138315,11.3340,2026-04-20
146215,16.6352,2026-04-20
146212,15.7019,2026-04-20
146216,16.1717,2026-04-20
146207,16.0942,2026-04-20
146208,15.1888,2026-04-20
146210,15.6372,2026-04-20
119621,43.1965,2026-04-20
119630,19.2828,2026-04-20
100786,18.6413,2026-04-20
100789,41.6874,2026-04-20
149361,13.1342,2026-04-20
149364,13.1342,2026-04-20
149357,13.1342,2026-04-20
149355,13.1342,2026-04-20
149356,13.1342,2026-04-20
149362,13.1342,2026-04-20
149358,13.1342,2026-04-20
149351,12.8135,2026-04-20
149353,12.8135,2026-04-20
149363,12.8135,2026-04-20
149360,12.8135,2026-04-20
149352,12.8135,2026-04-20
149354,12.8135,2026-04-20
149359,12.8135,2026-04-20
151320,1249.0502,2026-04-20
151321,1175.5996,2026-04-20
151322,1232.8436,2026-04-20
151319,1157.5869,2026-04-20
143241,16.2210,2026-04-20
143242,16.2210,2026-04-20
143239,15.8234,2026-04-20
143240,15.8234,2026-04-20
144344,13.6012,2026-04-20
144341,15.4042,2026-04-20
144339,17.4773,2026-04-20
144340,14.9339,2026-04-20
144346,15.2856,2026-04-20
144337,13.2294,2026-04-20
144338,15.0242,2026-04-20
144345,17.0622,2026-04-20
144343,14.4163,2026-04-20
144342,14.8367,2026-04-20
134385,14.2231,2026-04-20
134388,27.1888,2026-04-20
134387,27.1900,2026-04-20
134386,12.8785,2026-04-20
134383,24.6413,2026-04-20
130314,25.5162,2026-04-20
130312,10.2247,2026-04-20
130311,10.2922,2026-04-20
130309,22.6771,2026-04-20
130313,10.1504,2026-04-20
130310,10.1659,2026-04-20
140608,10.2561,2026-04-20
140609,16.9847,2026-04-20
140611,10.2073,2026-04-20
140612,13.1894,2026-04-20
140607,10.5858,2026-04-20
140610,10.3315,2026-04-20
140603,18.5851,2026-04-20
140606,13.7433,2026-04-20
140604,10.7924,2026-04-20
133868,13.7805,2026-04-20
133867,13.4074,2026-04-20
152903,0.0000,2026-04-20
152905,0.0000,2026-04-20
152892,0.0000,2026-04-20
152899,0.0000,2026-04-20
152894,0.0000,2026-04-20
152898,0.0000,2026-04-20
152897,0.0000,2026-04-20
152896,0.0000,2026-04-20
152895,0.0000,2026-04-20
133520,14.3307,2026-04-20
133524,12.6826,2026-04-20
152900,0.0000,2026-04-20
133488,25.8377,2026-04-20
152901,0.0000,2026-04-20
152902,0.0000,2026-04-20
152904,0.0000,2026-04-20
133486,23.3313,2026-04-20
133517,11.2332,2026-04-20
133518,11.6222,2026-04-20
148333,0.0000,2026-04-20
148334,0.0000,2026-04-20
148330,0.0000,2026-04-20
148331,0.0000,2026-04-20
148332,0.0000,2026-04-20
152893,0.0000,2026-04-20
148335,0.0000,2026-04-20
119084,11.8764,2026-04-20
119082,59.2374,2026-04-20
119083,12.4173,2026-04-20
119087,11.1243,2026-04-20
119085,12.2080,2026-04-20
119086,11.1293,2026-04-20
101839,12.3560,2026-04-20
101840,11.1243,2026-04-20
117061,11.9233,2026-04-20
117062,12.0551,2026-04-20
101838,11.1282,2026-04-20
101837,53.9211,2026-04-20
148304,0.0000,2026-04-20
148303,0.0000,2026-04-20
148305,0.0000,2026-04-20
148306,0.0000,2026-04-20
128053,25.3104,2026-04-20
128051,27.4728,2026-04-20
133148,23.3066,2026-04-20
133147,24.0828,2026-04-20
128050,10.8109,2026-04-20
128052,10.4594,2026-04-20
151047,13.3274,2026-04-20
151045,36.7455,2026-04-20
151044,12.3460,2026-04-20
151046,12.2235,2026-04-20
151043,33.7073,2026-04-20
151042,11.2710,2026-04-20
151041,33.1749,2026-04-20
120711,37.4151,2026-04-20
120709,11.9228,2026-04-20
114239,33.7789,2026-04-20
114240,11.2287,2026-04-20
130725,2303.3759,2026-04-20
130722,2286.3082,2026-04-20
130724,1201.1289,2026-04-20
130726,2034.5244,2026-04-20
130721,2035.1575,2026-04-20
130723,1211.4549,2026-04-20
119740,26.4273,2026-04-20
117716,31.0494,2026-04-20
119741,35.1850,2026-04-20
117715,13.5030,2026-04-20
112938,37.0520,2026-04-20
112939,38.9376,2026-04-20
148262,0.0000,2026-04-20
148264,0.0000,2026-04-20
148263,0.0000,2026-04-20
148260,0.0000,2026-04-20
118780,41.0229,2026-04-20
132873,22.2108,2026-04-20
118781,13.6829,2026-04-20
132871,20.3240,2026-04-20
112941,13.0795,2026-04-20
148261,0.0000,2026-04-20
148258,0.0000,2026-04-20
148259,0.0000,2026-04-20
119792,16.5690,2026-04-20
119793,24.2995,2026-04-20
119798,52.2166,2026-04-20
118211,15.9212,2026-04-20
102505,48.1037,2026-04-20
102506,21.7469,2026-04-20
148239,0.0000,2026-04-20
148241,0.0000,2026-04-20
148242,0.0000,2026-04-20
148238,0.0000,2026-04-20
148240,0.0000,2026-04-20
148245,0.0000,2026-04-20
148234,0.0000,2026-04-20
148236,0.0000,2026-04-20
148237,0.0000,2026-04-20
148235,0.0000,2026-04-20
148244,0.0000,2026-04-20
148243,0.0000,2026-04-20
117981,17.8699,2026-04-20
135290,12.8821,2026-04-20
136302,12.8866,2026-04-20
120764,20.3047,2026-04-20
135418,12.9340,2026-04-20
131419,11.2841,2026-04-20
120765,14.3280,2026-04-20
133344,11.9242,2026-04-20
135051,11.6004,2026-04-20
135419,11.9878,2026-04-20
131418,10.7311,2026-04-20
117982,12.6933,2026-04-20
122612,23.5011,2026-04-20
122715,24.8437,2026-04-20
122721,14.0308,2026-04-20
122717,22.9216,2026-04-20
122711,23.5011,2026-04-20
122720,22.6785,2026-04-20
122719,12.9506,2026-04-20
122712,22.6787,2026-04-20
119505,51.6048,2026-04-20
102767,47.8808,2026-04-20
132918,12.9515,2026-04-20
119503,11.1206,2026-04-20
119502,10.9645,2026-04-20
132917,11.9085,2026-04-20
111521,10.6330,2026-04-20
102766,10.6634,2026-04-20
111848,33.1105,2026-04-20
120451,33.8291,2026-04-20
120450,12.8416,2026-04-20
120452,11.3345,2026-04-20
115068,30.7292,2026-04-20
115131,11.6837,2026-04-20
115069,11.3597,2026-04-20
108561,11.5903,2026-04-20
108675,11.2440,2026-04-20
111524,34.7562,2026-04-20
122868,10.8700,2026-04-20
111523,13.2894,2026-04-20
131397,13.8112,2026-04-20
118415,11.7424,2026-04-20
118416,38.8977,2026-04-20
122618,11.0806,2026-04-20
118417,16.6998,2026-04-20
131396,13.6389,2026-04-20
118418,13.5881,2026-04-20
150179,10.0757,2026-04-20
150180,51.4147,2026-04-20
150182,10.4115,2026-04-20
150183,10.3324,2026-04-20
150184,10.0578,2026-04-20
150174,9.9904,2026-04-20
150173,45.8128,2026-04-20
150178,10.0533,2026-04-20
150176,10.0732,2026-04-20
150177,10.0186,2026-04-20
150175,9.9708,2026-04-20
150172,32.2621,2026-04-20
118284,32.5867,2026-04-20
118283,15.0818,2026-04-20
111962,29.2903,2026-04-20
111963,13.4046,2026-04-20
119239,3620.7257,2026-04-20
119238,2466.8911,2026-04-20
119236,1069.9609,2026-04-20
105669,3379.3106,2026-04-20
105668,1247.0862,2026-04-20
111786,1052.4776,2026-04-20
105667,1054.0393,2026-04-20
105878,1040.2787,2026-04-20
148308,0.0000,2026-04-20
148307,0.0000,2026-04-20
148309,0.0000,2026-04-20
148310,0.0000,2026-04-20
145589,1553.6270,2026-04-20
145590,1478.8149,2026-04-20
145596,1019.7251,2026-04-20
145595,1023.4387,2026-04-20
145591,1017.0027,2026-04-20
145597,1018.3537,2026-04-20
145593,1018.5447,2026-04-20
145598,1015.9616,2026-04-20
145592,1010.1868,2026-04-20
145594,1015.7243,2026-04-20
101872,90.8462,2026-04-20
119075,100.8249,2026-04-20
119072,13.6831,2026-04-20
101874,11.6456,2026-04-20
133369,21.2293,2026-04-20
133370,19.4626,2026-04-20
119073,14.0878,2026-04-20
101873,12.5762,2026-04-20
119074,15.0331,2026-04-20
