scheme_code,nav,nav_date
100033,925.2100,2026-05-07
100034,134.7500,2026-05-07
100037,12.9677,2026-05-07
100038,127.2829,2026-05-07
100041,108.0230,2026-05-07
100042,718.4664,2026-05-07
100043,737.2952,2026-05-07
100044,163.6940,2026-05-07
100046,100.1950,2026-05-07
100047,442.7346,2026-05-07
100048,108.2574,2026-05-07
100051,100.2719,2026-05-07
100057,10.7390,2026-05-07
100058,80.4435,2026-05-07
100063,222.5200,2026-05-07
100064,1288.4200,2026-05-07
100077,11.4293,2026-05-07
100078,84.7769,2026-05-07
100079,11.1818,2026-05-07
100080,57.3750,2026-05-07
100081,348.8810,2026-05-07
100082,27.2180,2026-05-07
100084,96.4958,2026-05-07
100085,12.5062,2026-05-07
100086,10.6939,2026-05-07
100087,55.3820,2026-05-07
100088,12.3271,2026-05-07
100089,10.9971,2026-05-07
100119,521.4360,2026-05-07
100120,36.9190,2026-05-07
100123,11.3988,2026-05-07
100124,59.1890,2026-05-07
100174,54.5495,2026-05-07
100175,392.8342,2026-05-07
100176,212.8866,2026-05-07
100177,267.6963,2026-05-07
100218,29.4306,2026-05-07
100219,151.6074,2026-05-07
100220,32.7037,2026-05-07
100221,116.9282,2026-05-07
100222,21.5924,2026-05-07
100223,63.5060,2026-05-07
100233,11.0070,2026-05-07
100234,74.8814,2026-05-07
100244,42.3836,2026-05-07
100247,43.0528,2026-05-07
100254,94.5648,2026-05-07
100264,18.5641,2026-05-07
100265,95.0040,2026-05-07
100280,11.6757,2026-05-07
100281,97.1959,2026-05-07
100286,37.9320,2026-05-07
100299,77.9647,2026-05-07
100300,47.7666,2026-05-07
100312,30.9881,2026-05-07
100313,98.1997,2026-05-07
100314,16.2448,2026-05-07
100315,74.1111,2026-05-07
100316,17.0480,2026-05-07
100317,59.1429,2026-05-07
100318,22.1043,2026-05-07
100319,34.1589,2026-05-07
100321,15.0937,2026-05-07
100323,196.2562,2026-05-07
100325,35.6508,2026-05-07
100332,32.0670,2026-05-07
100348,30.0000,2026-05-07
100349,1022.4000,2026-05-07
100351,79.6200,2026-05-07
100352,430.7800,2026-05-07
100353,21.8200,2026-05-07
100354,925.7200,2026-05-07
100355,43.6700,2026-05-07
100356,404.7000,2026-05-07
100363,170.5300,2026-05-07
100365,90.3196,2026-05-07
100367,12.3449,2026-05-07
100368,17.2841,2026-05-07
100369,105.5049,2026-05-07
100375,119.7393,2026-05-07
100376,741.1993,2026-05-07
100377,4452.4195,2026-05-07
100378,61.7455,2026-05-07
100379,250.2213,2026-05-07
100380,1485.6292,2026-05-07
100383,10.8006,2026-05-07
100384,13.1812,2026-05-07
100385,12.5121,2026-05-07
100386,12.8040,2026-05-07
100387,91.0807,2026-05-07
100388,26.1850,2026-05-07
100414,431.8383,2026-05-07
100415,365.8671,2026-05-07
100470,42.0473,2026-05-07
100471,1001.3358,2026-05-07
100472,92.9674,2026-05-07
100473,2738.2935,2026-05-07
100474,94.2635,2026-05-07
100475,504.2389,2026-05-07
100476,222.8000,2026-05-08
100477,120.2600,2026-05-08
100480,177.7900,2026-05-08
100484,196.2180,2026-05-07
100493,60.1229,2026-05-07
100494,10.6225,2026-05-07
100496,710.0599,2026-05-07
100497,93.4952,2026-05-07
100519,61.6010,2026-05-07
100520,1592.0526,2026-05-07
100521,38.6303,2026-05-07
100522,448.2340,2026-05-07
100524,36.5751,2026-05-07
100525,59.7918,2026-05-07
100526,1415.0000,2026-05-07
100527,16.6690,2026-05-07
100528,104.4379,2026-05-07
100529,15.1815,2026-05-07
100530,12.0166,2026-05-07
100531,12.4292,2026-05-07
100535,16.4818,2026-05-07
100536,217.0742,2026-05-07
100537,1244.9823,2026-05-07
100538,6186.0916,2026-05-07
100541,1509.0075,2026-05-07
100546,4136.1257,2026-05-07
100547,1000.0000,2026-05-07
100548,1037.0916,2026-05-07
100549,28.6159,2026-05-07
100550,266.5190,2026-05-07
100593,47.4100,2026-05-07
100596,14.8925,2026-05-07
100597,75.5858,2026-05-07
100600,12.3750,2026-05-07
100601,97.6249,2026-05-07
100602,13.1276,2026-05-07
100603,70.5884,2026-05-07
100614,15.3327,2026-05-07
100630,73.7769,2026-05-07
100631,645.1131,2026-05-07
100638,18.9239,2026-05-07
100639,72.3496,2026-05-07
100640,43.8374,2026-05-07
100641,6282.7862,2026-05-07
100643,113.2025,2026-05-07
100644,287.1320,2026-05-07
100645,176.0081,2026-05-07
100646,41.1960,2026-05-07
100650,51.8269,2026-05-07
100651,263.0090,2026-05-07
100663,89.9549,2026-05-07
100664,184.6530,2026-05-07
100668,198.8562,2026-05-07
100669,300.7794,2026-05-07
100678,39.9937,2026-05-07
100682,50.1149,2026-05-07
100684,405.3834,2026-05-07
100685,40.6131,2026-05-07
100723,7509.6008,2026-05-07
100724,4052.0659,2026-05-07
100725,2625.0754,2026-05-07
100739,200.1195,2026-05-07
100740,388.1408,2026-05-07
100741,74.6921,2026-05-07
100742,19.1836,2026-05-07
100784,44.8209,2026-05-07
100786,18.6509,2026-05-07
100789,41.7090,2026-05-07
100793,11.3586,2026-05-07
100794,35.7105,2026-05-07
100795,279.3391,2026-05-07
100806,234.3683,2026-05-07
100807,303.2479,2026-05-07
100813,1887.7784,2026-05-07
100814,3664.4136,2026-05-07
100820,38.2168,2026-05-07
100821,200.0450,2026-05-07
100822,167.5435,2026-05-07
100823,84.4082,2026-05-07
100833,1256.7719,2026-05-07
100835,5550.8913,2026-05-07
100837,5940.8375,2026-05-07
100838,1034.3289,2026-05-07
100842,1524.2800,2026-05-07
100843,1328.3173,2026-05-07
100844,1231.1031,2026-05-07
100851,6703.6778,2026-05-07
100852,1528.7400,2026-05-07
100853,1530.5513,2026-05-07
100855,1586.0864,2026-05-07
100856,62.3898,2026-05-07
100857,11.6441,2026-05-07
100858,12.0091,2026-05-07
100859,44.5584,2026-05-07
100864,30.5550,2026-05-07
100865,145.9566,2026-05-07
100868,5389.8479,2026-05-07
100874,1031.4937,2026-05-07
100875,1019.8200,2026-05-07
100876,1027.7282,2026-05-07
100900,284.1450,2026-05-07
100915,65.6213,2026-05-07
100927,21.5131,2026-05-07
100928,21.7874,2026-05-07
100929,26.6465,2026-05-07
100948,91.5956,2026-05-07
100949,12.6490,2026-05-07
100950,11.7265,2026-05-07
100968,75.5423,2026-05-07
100999,20.6083,2026-05-07
101001,67.0195,2026-05-07
101002,65.0453,2026-05-07
101003,21.1549,2026-05-07
101042,78.2419,2026-05-07
101044,10.1771,2026-05-07
101048,42.8424,2026-05-07
101049,21.6894,2026-05-07
101065,217.1239,2026-05-07
101066,77.1885,2026-05-07
101069,62.5426,2026-05-07
101070,453.4460,2026-05-07
101071,151.2530,2026-05-07
101072,164.9987,2026-05-07
101078,10.4302,2026-05-07
101083,56.0908,2026-05-07
101084,12.1296,2026-05-07
101127,332.4400,2026-05-07
101143,34.9993,2026-05-07
101144,811.0484,2026-05-07
101161,303.6707,2026-05-07
101162,303.6707,2026-05-07
101163,59.8205,2026-05-07
101165,12.1006,2026-05-07
101169,113.8954,2026-05-07
101181,25.9821,2026-05-07
101184,1000.1751,2026-05-07
101185,4965.4508,2026-05-07
101187,43.0413,2026-05-07
101188,25.5471,2026-05-07
101198,49.7605,2026-05-07
101199,145.1772,2026-05-07
101200,49.4151,2026-05-07
101201,133.9535,2026-05-07
101206,4342.6072,2026-05-07
101209,157.2000,2026-05-08
101222,76.8840,2026-05-07
101228,846.8800,2026-05-07
101262,388.1947,2026-05-07
101263,388.1947,2026-05-07
101264,67.5036,2026-05-07
101271,32.5242,2026-05-07
101281,721.7758,2026-05-07
101295,73.5944,2026-05-07
101303,10.1910,2026-05-07
101304,48.3217,2026-05-07
101305,12.0875,2026-05-07
101306,11.6264,2026-05-07
101313,25.1791,2026-05-07
101314,246.3931,2026-05-07
101316,558.8085,2026-05-07
101317,577.4693,2026-05-07
