scheme_code,nav,nav_date
100033,919.3500,2026-05-06
100034,133.8900,2026-05-06
100037,12.9618,2026-05-06
100038,127.2247,2026-05-06
100041,108.0230,2026-05-06
100042,718.3550,2026-05-06
100043,737.1809,2026-05-06
100044,163.6940,2026-05-06
100046,100.1950,2026-05-06
100047,442.6660,2026-05-06
100048,108.2406,2026-05-06
100051,100.2563,2026-05-06
100057,10.7346,2026-05-06
100058,80.4110,2026-05-06
100063,221.6400,2026-05-06
100064,1283.2900,2026-05-06
100077,11.4204,2026-05-06
100078,84.7106,2026-05-06
100079,11.1730,2026-05-06
100080,57.0980,2026-05-06
100081,347.8960,2026-05-06
100082,27.1410,2026-05-06
100084,96.4294,2026-05-06
100085,12.4976,2026-05-06
100086,10.6866,2026-05-06
100087,55.3729,2026-05-06
100088,12.3251,2026-05-06
100089,10.9953,2026-05-06
100119,520.6650,2026-05-06
100120,36.8640,2026-05-06
100123,11.4001,2026-05-06
100124,59.1953,2026-05-06
100174,54.3057,2026-05-06
100175,391.0781,2026-05-06
100176,210.1720,2026-05-06
100177,264.2830,2026-05-06
100218,29.2682,2026-05-06
100219,150.7710,2026-05-06
100220,32.5168,2026-05-06
100221,116.2600,2026-05-06
100222,21.5878,2026-05-06
100223,63.4924,2026-05-06
100233,11.0052,2026-05-06
100234,74.8691,2026-05-06
100244,42.3767,2026-05-06
100247,43.0457,2026-05-06
100254,93.5979,2026-05-06
100264,18.5628,2026-05-06
100265,94.9974,2026-05-06
100280,11.6749,2026-05-06
100281,97.1891,2026-05-06
100286,37.7790,2026-05-06
100299,77.9575,2026-05-06
100300,47.7622,2026-05-06
100312,30.7261,2026-05-06
100313,97.3694,2026-05-06
100314,16.2457,2026-05-06
100315,74.1152,2026-05-06
100316,17.0480,2026-05-06
100317,59.1430,2026-05-06
100318,22.1043,2026-05-06
100319,34.1589,2026-05-06
100321,15.0132,2026-05-06
100323,195.2098,2026-05-06
100325,35.5425,2026-05-06
100332,32.0120,2026-05-06
100348,29.9100,2026-05-06
100349,1019.2500,2026-05-06
100351,80.0700,2026-05-06
100352,433.2000,2026-05-06
100353,21.7800,2026-05-06
100354,924.1700,2026-05-06
100355,43.6100,2026-05-06
100356,404.0900,2026-05-06
100363,170.8300,2026-05-06
100365,90.2604,2026-05-06
100367,12.3368,2026-05-06
100368,17.2782,2026-05-06
100369,105.4689,2026-05-06
100375,118.4163,2026-05-06
100376,733.0094,2026-05-06
100377,4403.2226,2026-05-06
100378,61.4607,2026-05-06
100379,249.0672,2026-05-06
100380,1478.7768,2026-05-06
100383,10.7972,2026-05-06
100384,13.1770,2026-05-06
100385,12.5081,2026-05-06
100386,12.7999,2026-05-06
100387,91.0516,2026-05-06
100388,26.1767,2026-05-06
100414,431.5145,2026-05-06
100415,365.3310,2026-05-06
100470,42.0067,2026-05-06
100471,1000.3704,2026-05-06
100472,92.2949,2026-05-06
100473,2718.4860,2026-05-06
100474,93.9205,2026-05-06
100475,503.9095,2026-05-06
100476,222.9400,2026-05-06
100477,118.5200,2026-05-06
100480,178.0000,2026-05-06
100484,196.2563,2026-05-06
100493,60.1641,2026-05-06
100494,10.6298,2026-05-06
100496,708.8295,2026-05-06
100497,93.3332,2026-05-06
100519,61.3662,2026-05-06
100520,1585.9829,2026-05-06
100521,38.7425,2026-05-06
100522,449.5359,2026-05-06
100524,36.2403,2026-05-06
100525,59.6218,2026-05-06
100526,1410.9761,2026-05-06
100527,16.6652,2026-05-06
100528,104.4143,2026-05-06
100529,15.1780,2026-05-06
100530,12.0138,2026-05-06
100531,12.4264,2026-05-06
100535,16.4600,2026-05-06
100536,216.7882,2026-05-06
100537,1244.7975,2026-05-06
100538,6185.1734,2026-05-06
100541,1509.0075,2026-05-06
100546,4135.4352,2026-05-06
100547,1000.0000,2026-05-06
100548,1036.9184,2026-05-06
100549,28.5469,2026-05-06
100550,265.8760,2026-05-06
100593,47.1700,2026-05-06
100596,14.8970,2026-05-06
100597,75.6087,2026-05-06
100600,12.3641,2026-05-06
100601,97.5393,2026-05-06
100602,13.1244,2026-05-06
100603,70.5714,2026-05-06
100614,15.3013,2026-05-06
100630,73.0164,2026-05-06
100631,638.4632,2026-05-06
100638,18.9204,2026-05-06
100639,72.3360,2026-05-06
100640,43.8291,2026-05-06
100641,6281.9744,2026-05-06
100643,113.7110,2026-05-06
100644,286.2979,2026-05-06
100645,175.6952,2026-05-06
100646,41.1491,2026-05-06
100650,51.7816,2026-05-06
100651,262.7794,2026-05-06
100663,89.6268,2026-05-06
100664,183.9795,2026-05-06
100668,198.1803,2026-05-06
100669,299.7572,2026-05-06
100678,39.9374,2026-05-06
100682,50.0720,2026-05-06
100684,404.9256,2026-05-06
100685,40.5673,2026-05-06
100723,7508.5015,2026-05-06
100724,4051.4728,2026-05-06
100725,2624.6911,2026-05-06
100739,199.6294,2026-05-06
100740,387.1902,2026-05-06
100741,74.6990,2026-05-06
100742,19.1854,2026-05-06
100784,44.7861,2026-05-06
