scheme_code,nav,nav_date
100033,909.3300,2026-05-11
100034,132.4400,2026-05-11
100037,12.9220,2026-05-11
100038,126.8341,2026-05-11
100041,108.0230,2026-05-11
100042,718.8968,2026-05-11
100043,737.7368,2026-05-11
100044,163.6940,2026-05-11
100046,100.1950,2026-05-11
100047,442.9998,2026-05-11
100048,108.2197,2026-05-11
100051,100.2695,2026-05-11
100057,10.6496,2026-05-11
100058,79.7740,2026-05-11
100063,219.5100,2026-05-11
100064,1270.9800,2026-05-11
100077,11.4193,2026-05-11
100078,84.7026,2026-05-11
100079,11.1720,2026-05-11
100080,56.3840,2026-05-11
100081,344.5000,2026-05-11
100082,26.8760,2026-05-11
100084,95.6717,2026-05-11
100085,12.3994,2026-05-11
100086,10.6026,2026-05-11
100087,55.3980,2026-05-11
100088,12.3306,2026-05-11
100089,11.0003,2026-05-11
100119,512.2030,2026-05-11
100120,36.2650,2026-05-11
100123,11.3519,2026-05-11
100124,58.9451,2026-05-11
100174,53.8472,2026-05-11
100175,387.7769,2026-05-11
100176,210.3727,2026-05-11
100177,264.5352,2026-05-11
100218,28.8465,2026-05-11
100219,148.5986,2026-05-11
100220,32.4325,2026-05-11
100221,115.9585,2026-05-11
100222,21.5292,2026-05-11
100223,63.3202,2026-05-11
100233,11.0137,2026-05-11
100234,74.9265,2026-05-11
100244,42.4092,2026-05-11
100247,43.0788,2026-05-11
100254,92.7903,2026-05-11
100264,18.4816,2026-05-11
100265,94.5820,2026-05-11
100280,11.6239,2026-05-11
100281,96.7641,2026-05-11
100286,37.1920,2026-05-11
100299,77.7550,2026-05-11
100300,47.6382,2026-05-11
100312,30.6408,2026-05-11
100313,97.0994,2026-05-11
100314,16.1942,2026-05-11
100315,73.8802,2026-05-11
100316,16.8985,2026-05-11
100317,58.6243,2026-05-11
100318,21.9104,2026-05-11
100319,33.8593,2026-05-11
100321,14.9539,2026-05-11
100323,194.4380,2026-05-11
100325,35.2685,2026-05-11
100332,31.4281,2026-05-11
100348,29.5600,2026-05-11
100349,1007.2700,2026-05-11
100351,79.4500,2026-05-11
100352,429.8600,2026-05-11
100353,21.4300,2026-05-11
100354,909.3500,2026-05-11
100355,42.9100,2026-05-11
100356,399.1000,2026-05-11
100363,170.6000,2026-05-11
100365,89.6049,2026-05-11
100367,12.2472,2026-05-11
100368,17.1756,2026-05-11
100369,104.8424,2026-05-11
100375,118.1235,2026-05-11
100376,731.1971,2026-05-11
100377,4392.3355,2026-05-11
100378,60.7446,2026-05-11
100379,246.1655,2026-05-11
100380,1461.5489,2026-05-11
100383,10.7620,2026-05-11
100384,13.1341,2026-05-11
100385,12.4673,2026-05-11
100386,12.7582,2026-05-11
100387,90.7550,2026-05-11
100388,26.0914,2026-05-11
100414,424.7533,2026-05-11
100415,363.5618,2026-05-11
100470,41.3316,2026-05-11
100471,984.2925,2026-05-11
100472,91.6842,2026-05-11
100473,2700.4986,2026-05-11
100474,92.0751,2026-05-11
100475,493.9775,2026-05-11
100476,216.2200,2026-05-12
100477,115.9500,2026-05-12
100480,173.0200,2026-05-12
100484,192.1006,2026-05-11
100493,60.0902,2026-05-11
100494,10.6167,2026-05-11
100496,694.6797,2026-05-11
100497,91.4701,2026-05-11
100519,60.1537,2026-05-11
100520,1554.6461,2026-05-11
100521,38.1431,2026-05-11
100522,442.5807,2026-05-11
100524,35.9058,2026-05-11
100525,58.3366,2026-05-11
100526,1380.5611,2026-05-11
100527,16.6748,2026-05-11
100528,104.4744,2026-05-11
100529,15.1868,2026-05-11
100530,12.0208,2026-05-11
100531,12.4335,2026-05-11
100535,16.3368,2026-05-11
100536,215.1644,2026-05-11
100537,1244.4384,2026-05-11
100538,6189.3847,2026-05-11
100541,1509.0075,2026-05-11
100546,4138.6337,2026-05-11
100547,1000.0000,2026-05-11
100548,1036.5809,2026-05-11
100549,28.1248,2026-05-11
100550,261.9448,2026-05-11
100593,46.3900,2026-05-11
100596,14.8438,2026-05-11
100597,75.3387,2026-05-11
100600,12.3070,2026-05-11
100601,97.0884,2026-05-11
100602,13.1055,2026-05-11
100603,70.4694,2026-05-11
100614,14.9441,2026-05-11
100630,72.7295,2026-05-11
100631,635.9544,2026-05-11
100638,18.8744,2026-05-11
100639,72.1604,2026-05-11
100640,43.7227,2026-05-11
100641,6284.6132,2026-05-11
100643,112.6535,2026-05-11
100644,290.9120,2026-05-11
100645,172.6353,2026-05-11
100646,40.9622,2026-05-11
100650,50.9775,2026-05-11
100651,258.6987,2026-05-11
100663,88.5537,2026-05-11
100664,181.7767,2026-05-11
100668,197.3043,2026-05-11
100669,298.4322,2026-05-11
100678,39.6839,2026-05-11
100682,49.6927,2026-05-11
100684,400.1071,2026-05-11
100685,40.0845,2026-05-11
100723,7512.0520,2026-05-11
100724,4053.3886,2026-05-11
100725,2625.9323,2026-05-11
100739,199.1569,2026-05-11
100740,386.2739,2026-05-11
100741,74.5174,2026-05-11
