scheme_code,nav,nav_date
100844,1233.4026,2026-05-21
100851,6716.4233,2026-05-21
100852,1528.7400,2026-05-21
100853,1530.4392,2026-05-21
100855,1589.1020,2026-05-21
100856,62.0129,2026-05-21
100857,11.5738,2026-05-21
100858,11.9365,2026-05-21
100859,44.2892,2026-05-21
100864,29.3509,2026-05-21
100865,140.2050,2026-05-21
100868,5400.7092,2026-05-21
100874,1031.4527,2026-05-21
100875,1019.8200,2026-05-21
100876,1029.7993,2026-05-21
100900,278.1020,2026-05-21
100915,64.3244,2026-05-21
100927,21.3803,2026-05-21
100928,21.6539,2026-05-21
100929,26.4833,2026-05-21
100948,90.5137,2026-05-21
100949,12.4996,2026-05-21
100950,11.5880,2026-05-21
100968,75.0794,2026-05-21
100999,20.5609,2026-05-21
101001,66.8653,2026-05-21
101002,64.4356,2026-05-21
101003,20.9566,2026-05-21
101042,77.0421,2026-05-21
101044,10.1613,2026-05-21
101048,42.8157,2026-05-21
101049,21.3568,2026-05-21
101065,219.9341,2026-05-21
101066,78.1875,2026-05-21
101069,62.2670,2026-05-21
101070,451.4479,2026-05-21
101071,151.9321,2026-05-21
101072,165.7396,2026-05-21
101078,10.4302,2026-05-21
101083,55.5189,2026-05-21
101084,12.0059,2026-05-21
101127,327.4400,2026-05-21
101143,34.4752,2026-05-21
101144,798.9035,2026-05-21
101161,296.0224,2026-05-21
101162,296.0224,2026-05-21
101163,58.3138,2026-05-21
101165,12.0353,2026-05-21
101169,113.1129,2026-05-21
101181,25.7729,2026-05-21
101184,1000.1751,2026-05-21
101185,4975.1662,2026-05-21
101187,42.5910,2026-05-21
101188,25.2799,2026-05-21
101198,48.0830,2026-05-21
101199,140.2831,2026-05-21
101200,48.0659,2026-05-21
101201,130.2962,2026-05-21
101206,4350.8963,2026-05-21
101209,154.6500,2026-05-21
101222,75.0854,2026-05-21
101228,832.0100,2026-05-21
101262,378.7609,2026-05-21
101263,378.7609,2026-05-21
101264,65.8631,2026-05-21
101271,32.0081,2026-05-21
101281,697.5707,2026-05-21
101295,71.7414,2026-05-21
101303,10.1335,2026-05-21
101304,48.0491,2026-05-21
101305,12.0193,2026-05-21
101306,11.5608,2026-05-21
101313,24.0025,2026-05-21
101314,239.7045,2026-05-21
101316,558.4517,2026-05-21
101317,577.1007,2026-05-21
101349,238.3995,2026-05-21
101351,10.9031,2026-05-21
101356,11.1476,2026-05-21
101357,52.8125,2026-05-21
101373,53.8770,2026-05-21
101407,3842.7989,2026-05-21
101408,4657.4358,2026-05-21
101491,55.5471,2026-05-21
101525,224.7751,2026-05-21
101530,284.5129,2026-05-21
101538,66.3685,2026-05-21
101539,1433.8432,2026-05-21
101547,22.2920,2026-05-21
101548,49.3614,2026-05-21
101549,24.0265,2026-05-21
101551,64.8167,2026-05-21
101585,66.3720,2026-05-21
101586,12.3350,2026-05-21
101587,14.5178,2026-05-21
101588,55.7533,2026-05-21
101591,55.9400,2026-05-21
101592,802.0800,2026-05-21
101593,40.2008,2026-05-21
101594,453.8141,2026-05-21
101617,105.2035,2026-05-21
101618,105.5047,2026-05-21
101619,571.7480,2026-05-21
101635,449.9460,2026-05-21
101636,22.9410,2026-05-21
101656,161.9251,2026-05-21
101657,39.8781,2026-05-21
101659,147.0864,2026-05-21
101665,54.7693,2026-05-21
101667,11.4548,2026-05-21
101669,14.8422,2026-05-21
101672,338.9599,2026-05-21
101685,42.5760,2026-05-21
101686,10.4794,2026-05-21
101705,859.4865,2026-05-21
101706,33.5000,2026-05-21
101714,1001.5157,2026-05-21
101737,25.8000,2026-05-21
101738,453.5800,2026-05-21
101746,188.7619,2026-05-21
101758,62.7091,2026-05-21
101762,1939.6780,2026-05-21
101763,70.0910,2026-05-21
101764,738.2130,2026-05-21
101765,34.3760,2026-05-21
101766,176.6624,2026-05-21
101802,444.4722,2026-05-21
101804,100.4012,2026-05-21
101805,42.5112,2026-05-21
101806,42.3782,2026-05-21
101816,16.2447,2026-05-21
101818,68.4620,2026-05-21
101823,70.7479,2026-05-21
101824,476.8639,2026-05-21
101829,14.2631,2026-05-21
101830,41.3633,2026-05-21
101833,140.7234,2026-05-21
101834,215.2352,2026-05-21
101837,53.4733,2026-05-21
101838,11.0358,2026-05-21
101839,12.2533,2026-05-21
101840,11.0280,2026-05-21
101843,14.7402,2026-05-21
101844,49.3397,2026-05-21
101847,4969.7602,2026-05-21
101852,77.1224,2026-05-21
101853,206.5024,2026-05-21
101862,616.9084,2026-05-21
101863,616.9084,2026-05-21
101864,65.4110,2026-05-21
101866,12.5366,2026-05-21
101867,14.3714,2026-05-21
101868,11.5648,2026-05-21
101869,81.8158,2026-05-21
101872,90.2356,2026-05-21
101873,12.4917,2026-05-21
101874,11.5674,2026-05-21
101875,13.3557,2026-05-21
101892,1050.0559,2026-05-21
101893,4725.5858,2026-05-21
101922,329.6300,2026-05-21
101923,57.4000,2026-05-21
101932,42.9360,2026-05-21
101934,40.1068,2026-05-21
101950,20.6576,2026-05-21
101951,20.9050,2026-05-21
101952,20.2691,2026-05-21
101970,103.5670,2026-05-21
101971,479.6706,2026-05-21
101972,99.8294,2026-05-21
101973,99.8337,2026-05-21
101974,99.9026,2026-05-21
101976,389.1761,2026-05-21
101979,1319.7980,2026-05-21
101980,64.0540,2026-05-21
101986,1112.8584,2026-05-21
101989,58.5478,2026-05-21
101990,10.0584,2026-05-21
101993,6013.5966,2026-05-21
101994,1062.0316,2026-05-21
101995,1060.8633,2026-05-21
101996,3979.0056,2026-05-21
101997,1042.6600,2026-05-21
102000,1081.1540,2026-05-21
102001,49.5130,2026-05-21
102007,1134.4864,2026-05-21
102008,1067.0089,2026-05-21
102009,4098.8774,2026-05-21
102010,1189.0174,2026-05-21
102011,1126.1726,2026-05-21
102012,4516.9675,2026-05-21
102013,1053.0464,2026-05-21
102020,286.0752,2026-05-21
102021,51.0666,2026-05-21
102036,98.6732,2026-05-21
102053,53.1445,2026-05-21
102054,20.6003,2026-05-21
102133,164.6884,2026-05-21
102134,128.3130,2026-05-21
102135,217.9081,2026-05-21
102136,168.9197,2026-05-21
102137,121.2214,2026-05-21
102138,93.1579,2026-05-21
102139,65.2680,2026-05-21
102140,50.0827,2026-05-21
102141,46.4699,2026-05-21
102142,88.1177,2026-05-21
102143,40.5337,2026-05-21
102147,81.8559,2026-05-21
102148,13.3514,2026-05-21
102149,14.1297,2026-05-21
102172,60.4130,2026-05-21
102173,11.2087,2026-05-21
102174,12.2628,2026-05-21
102205,36.6740,2026-05-21
102206,19.2265,2026-05-21
102251,41.3389,2026-05-21
102252,221.1991,2026-05-21
102260,12.7638,2026-05-21
102261,16.8298,2026-05-21
102262,62.0188,2026-05-21
102266,78.8233,2026-05-21
102267,78.8185,2026-05-21
102272,209.2809,2026-05-21
102273,107.3734,2026-05-21
102326,118.1833,2026-05-21
102328,445.8760,2026-05-21
102330,77.6045,2026-05-21
102331,13.6998,2026-05-21
102393,142.4155,2026-05-21
102394,300.9569,2026-05-21
102395,143.5765,2026-05-21
102396,75.0393,2026-05-21
102397,125.0281,2026-05-21
102398,271.1463,2026-05-21
102401,184.6935,2026-05-21
102402,71.8818,2026-05-21
102414,370.9484,2026-05-21
102428,113.4587,2026-05-21
102431,549.2545,2026-05-21
102432,549.2545,2026-05-21
102433,118.6082,2026-05-21
102434,351.7060,2026-05-21
102435,30.4820,2026-05-21
102442,1055.2430,2026-05-21
102443,1000.0000,2026-05-21
102448,59.8025,2026-05-21
102450,10.9631,2026-05-21
102451,11.2920,2026-05-21
102452,60.4110,2026-05-21
102453,10.0338,2026-05-21
102503,43.4769,2026-05-21
102504,17.1430,2026-05-21
102505,47.9806,2026-05-21
102506,21.6913,2026-05-21
102509,38.7745,2026-05-21
102510,64.6783,2026-05-21
102511,26.4691,2026-05-21
102512,48.0904,2026-05-21
102514,48.1172,2026-05-21
102528,337.3100,2026-05-21
102529,43.7100,2026-05-21
102531,1406.9199,2026-05-21
102532,4445.6947,2026-05-21
102533,68.9730,2026-05-21
102534,43.6045,2026-05-21
102535,68.9377,2026-05-21
102536,16.6560,2026-05-21
102538,3541.4128,2026-05-21
102539,4393.4242,2026-05-21
102540,6590.8836,2026-05-21
102541,2330.4516,2026-05-21
102544,3726.5014,2026-05-21
102545,3114.5622,2026-05-21
102573,245.4320,2026-05-21
102574,252.1380,2026-05-21
102591,45.0142,2026-05-21
102592,10.7045,2026-05-21
102594,457.5000,2026-05-21
102595,34.6100,2026-05-21
102672,4335.2137,2026-05-21
102673,47.0017,2026-05-21
102675,11.0638,2026-05-21
102676,10.1973,2026-05-21
102677,10.2107,2026-05-21
102741,47.1176,2026-05-21
102751,181.5111,2026-05-21
102752,181.5111,2026-05-21
102753,32.8036,2026-05-21
102756,381.6548,2026-05-21
102760,219.8810,2026-05-21
102761,22.3550,2026-05-21
102765,69.8080,2026-05-21
102766,10.5967,2026-05-21
102767,47.5811,2026-05-21
102823,470.6362,2026-05-21
102846,177.0426,2026-05-21
102847,177.0426,2026-05-21
102848,31.0183,2026-05-21
102849,38.3191,2026-05-21
102851,25.7742,2026-05-21
102860,16.1787,2026-05-21
102874,111.3200,2026-05-21
102875,255.1640,2026-05-21
102883,182.3797,2026-05-21
102884,18.9220,2026-05-21
102885,305.8753,2026-05-21
102913,44.1683,2026-05-21
102914,39.5655,2026-05-21
102915,10.2376,2026-05-21
102920,243.8900,2026-05-21
102921,79.2100,2026-05-21
102941,234.5148,2026-05-21
102942,95.8260,2026-05-21
102947,14.8860,2026-05-21
102948,109.9920,2026-05-21
103024,629.7514,2026-05-21
103025,32.6537,2026-05-21
103026,173.4925,2026-05-21
103034,376.0459,2026-05-21
103039,50.6840,2026-05-21
103040,147.0410,2026-05-21
103048,4366.8556,2026-05-21
103050,1004.8561,2026-05-21
103051,1005.3761,2026-05-21
103052,1022.8986,2026-05-21
103085,219.9392,2026-05-21
103086,40.8321,2026-05-21
103097,46.7348,2026-05-21
103098,160.3656,2026-05-21
103110,36.9300,2026-05-21
103111,198.0500,2026-05-21
103114,114.8791,2026-05-21
103130,16.8210,2026-05-21
103131,73.9090,2026-05-21
103140,1391.3999,2026-05-21
103145,117.1975,2026-05-21
103146,66.5225,2026-05-21
